observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2355	2355	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3352	3352	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3255	3355	3XXX	33XX	3XXX_I	33XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3355	3355	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4355	4355	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
0535	5555	0XXX	5555	0XXX_E	5555_E	Changed	Not changed	Shifted (2 LU Changes)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2555	2555	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2335	2335	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2335	2335	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2335	2335	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5335	5535	5XXX	55XX	5XXX_E	55XX_E	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
4566	4565	4XXX	4XXX	4XXX_E	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3575	3575	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3575	3575	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3575	3575	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
1575	1575	1XXX	1XXX	1XXX_E	1XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual gain	Eventual gain
3575	3575	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2535	2235	2XXX	22XX	2XXX_E	22XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3325	3325	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2325	2325	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3325	3325	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2221	22XX	222X	22XX_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3231	3421	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3411	3431	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4431	4431	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1431	1231	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (2 LUs in between)	Reverted (2 LUs in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2213	2223	22XX	222X	22XX_I	222X_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
2213	2213	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2113	2213	2XXX	22XX	2XXX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
4411	4411	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1411	1411	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
2411	2411	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1411	1411	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
1411	1411	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
1411	1411	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
2411	2421	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4411	4411	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2244	2144	22XX	2XXX	22XX_E	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Intermittent Presence
3144	3149	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
3144	3144	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2244	2244	22XX	22XX	22XX_E	22XX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1114	1114	111X	111X	111X_E	111X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable gain	Stable gain
2113	2114	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
4114	4114	4XXX	4XXX	4XXX_I	4XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
3114	3114	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3366	3365	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3375	3375	33XX	33XX	33XX_E	33XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
3372	3375	33XX	33XX	33XX_I	33XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5355	5255	5XXX	5XXX	5XXX_E	5XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
2355	2255	2XXX	22XX	2XXX_E	22XX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5255	5555	5XXX	5555_E	5XXX_I	Not changed	Not changed	Stable (No Change)	Reverted (1 LU in between)	Aanwezig en laatste LU van transitie blijft aangehouden	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5255	5555	5XXX	5555_E	5XXX_I	Not changed	Not changed	Stable (No Change)	Reverted (1 LU in between)	Aanwezig en laatste LU van transitie blijft aangehouden	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2111	2511	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Eventual loss	Stable loss
3511	3511	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable loss	Stable loss
3241	3241	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Fully Dynamic (All Different)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2241	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3314	3493	33XX	3XXX	33XX_I	3XXX_I	Changed	Not changed	Shifted (2 LU Changes)	Reverted (2 LUs in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Stable absence
4414	4414	44XX	44XX	44XX_I	44XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Intermittent Presence	Intermittent Presence
4444	4414	4444	44XX	4444_E	44XX_I	Not changed	Not changed	Stable (No Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Intermittent Presence
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3341	3341	33XX	33XX	33XX_I	33XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2222	222X	2222	222X_I	2222_I	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
2211	2221	22XX	222X	22XX_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2241	2241	22XX	22XX	22XX_I	22XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2211	2221	22XX	222X	22XX_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2222	2222	2222	2222	2222_I	2222_I	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2221	2421	222X	2XXX	222X_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
4421	4421	44XX	44XX	44XX_I	44XX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2411	2421	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2222	2421	2222	2XXX	2222_I	2XXX_I	Not changed	Changed	Stable (No Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable loss
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
0545	5555	0XXX	5555	0XXX_E	5555_E	Changed	Not changed	Shifted (2 LU Changes)	Stable (No Change)	Niet aanwezig maar laatste LU wel aanwezig	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
5555	5555	5555	5555	5555_E	5555_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Aanwezig en laatste LU van transitie blijft aangehouden	Aanwezig en laatste LU van transitie blijft aangehouden	Stable absence	Stable absence
2221	2811	222X	2XXX	222X_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3224	3824	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (2 LU Changes)	Fully Dynamic (All Different)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2821	2821	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2821	2821	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2821	2821	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2821	2221	2XXX	222X	2XXX_I	222X_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2241	2221	22XX	222X	22XX_I	222X_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2121	2221	2XXX	222X	2XXX_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
2421	2221	2XXX	222X	2XXX_I	222X_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
1611	1121	1XXX	11XX	1XXX_I	11XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual loss	Eventual loss
2221	2221	222X	222X	222X_I	222X_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
9291	9221	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (2 LU Changes)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
